Чукотский автономный округ,Сумма,Анадырская,Анадырская городская,Билибинская,Эгвекинотская,Провиденская,Певекская,Чукотская
"избирателей, включенных в список избирателей",33541,5662,9411,5907,3173,2225,4700,2463
"изб.бюллетеней, полученных участковой избирательной комиссией",32298,5683,8055,5400,3700,2231,4534,2695
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",2531,393,2,253,618,20,1204,41
"изб.бюллетеней, выданных в помещении для голосования в день голосования",24193,4287,6842,4399,2394,1627,2512,2132
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",874,195,210,111,69,152,112,25
"изб.бюллетеней, погашенных",4700,808,1001,637,619,432,706,497
"изб.бюллетеней, в переносных ящиках для голосования",3405,588,212,364,687,172,1316,66
"изб.бюллетеней, в стационарных ящиках для голосования",24186,4287,6836,4399,2393,1627,2512,2132
"изб.бюллетеней, недействительных",293,54,91,58,24,17,35,14
"изб.бюллетеней, действительных",27298,4821,6957,4705,3056,1782,3793,2184
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0
Бабурин,115,19,32,18,16,5,18,7
Грудинин,1616,248,545,403,160,63,134,63
Жириновский,2018,334,495,474,265,98,233,119
Путин,22709,4115,5638,3630,2500,1574,3307,1945
Собчак,358,53,107,69,52,21,36,20
Сурайкин,142,20,24,37,23,6,24,8
Титов,180,14,59,41,24,9,24,9
Явлинский,160,18,57,33,16,6,17,13
