Ямало-Ненецкий автономный округ,Сумма,Губкинская городская,Красноселькупская,Лабытнангская городская,Муравленковская городская,Надымская,Новоуренгойская городская,Ноябрьская городская,Приуральская,Пуровская,Салехардская городская,Тазовская,Шурышкарская,Ямальская
"избирателей, включенных в список избирателей",370823,14788,5380,15547,23078,47826,63422,68471,9233,41620,28614,21774,5936,25134
"изб.бюллетеней, полученных участковой избирательной комиссией",372171,14800,5313,15573,22650,48013,63618,68610,8861,42505,27521,22721,6066,25920
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",41135,0,1412,0,0,9458,0,0,1709,8513,0,11819,450,7774
"изб.бюллетеней, выданных в помещении для голосования в день голосования",295648,12338,3671,13422,21487,37340,58234,60051,6793,29766,23697,7794,5069,15986
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",4008,126,166,473,152,464,340,641,296,242,541,137,232,198
"изб.бюллетеней, погашенных",31380,2336,64,1678,1011,751,5044,7918,63,3984,3283,2971,315,1962
"изб.бюллетеней, в переносных ящиках для голосования",45143,126,1578,473,152,9922,340,641,2005,8755,541,11956,682,7972
"изб.бюллетеней, в стационарных ящиках для голосования",295540,12338,3671,13408,21487,37340,58203,60051,6793,29746,23685,7791,5069,15958
"изб.бюллетеней, недействительных",2616,146,6,143,467,300,438,412,12,88,282,192,52,78
"изб.бюллетеней, действительных",338067,12318,5243,13738,21172,46962,58105,60280,8786,38413,23944,19555,5699,23852
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,1052,54,18,62,56,171,157,142,18,138,142,64,18,12
Грудинин,19488,1031,57,690,1090,2104,5124,4367,88,549,2426,1249,101,612
Жириновский,19409,816,216,964,1742,3016,2911,4479,279,1174,1988,1315,167,342
Путин,291409,10094,4853,11721,17818,40933,48838,49965,8294,35785,18509,16499,5333,22767
Собчак,2394,120,40,118,90,272,442,317,37,268,434,183,24,49
Сурайкин,1794,84,19,62,249,150,171,686,21,142,94,76,20,20
Титов,1154,63,18,61,81,153,213,145,26,109,163,76,21,25
Явлинский,1367,56,22,60,46,163,249,179,23,248,188,93,15,25
