Ярославская область,Сумма,Большесельская,Борисоглебская,Брейтовская,Гаврилов-Ямская,Даниловская,Любимская,Мышкинская,Некоузская,Некрасовская,Первомайская,Переславль-Залесская городская,Пошехонская,Ростовская,Рыбинская,Тутаевская,Угличская,"Ярославль, Дзержинская","Ярославль, Заволжская","Ярославль, Кировская","Ярославль, Красноперекопская","Ярославль, Ленинская","Ярославль, Фрунзенская",Ярославская,Переславская,"Рыбинск, Волжская","Рыбинск, Пролетарская"
"избирателей, включенных в список избирателей",1026447,7852,10817,5703,20755,20622,9567,8296,12686,18456,8779,33763,10868,53876,22612,45556,37136,132026,93877,43658,51073,50563,104210,47981,16372,79940,79403
"изб.бюллетеней, полученных участковой избирательной комиссией",938364,6322,9600,5140,19090,18520,9190,8497,12535,15795,9060,29035,10860,51750,22980,44240,32520,119258,84140,40570,46480,40943,89364,42000,14710,78422,77343
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",606776,4026,5892,2708,12708,10482,4781,4783,6562,10534,4447,20449,5466,29452,12524,26035,20578,79979,57806,27655,30789,30006,63637,27198,8680,50482,49117
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",51432,1381,1472,968,1774,2602,1416,1414,1844,2085,1932,1313,2527,2897,2742,2251,3322,2759,2033,1210,1311,1922,1964,2414,1877,1840,2162
"изб.бюллетеней, погашенных",280156,915,2236,1464,4608,5436,2993,2300,4129,3176,2681,7273,2867,19401,7714,15954,8620,36520,24301,11705,14380,9015,23763,12388,4153,26100,26064
"изб.бюллетеней, в переносных ящиках для голосования",51428,1381,1472,968,1774,2601,1416,1414,1844,2085,1932,1313,2527,2897,2742,2251,3321,2759,2033,1210,1311,1921,1963,2414,1877,1840,2162
"изб.бюллетеней, в стационарных ящиках для голосования",606512,4026,5892,2708,12706,10481,4781,4783,6562,10534,4444,20419,5465,29448,12524,26031,20576,79956,57692,27651,30780,29996,63621,27197,8680,50460,49099
"изб.бюллетеней, недействительных",6636,57,62,21,151,96,69,57,101,104,64,245,78,288,153,290,248,771,609,304,311,337,687,299,96,584,554
"изб.бюллетеней, действительных",651304,5350,7302,3655,14329,12986,6128,6140,8305,12515,6312,21487,7914,32057,15113,27992,23649,81944,59116,28557,31780,31580,64897,29312,10461,51716,50707
"изб.бюллетеней, утраченных",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бабурин,5329,36,69,38,89,82,41,60,76,81,40,161,63,226,108,226,204,700,495,259,252,287,520,182,53,476,505
Грудинин,85256,565,787,357,2062,1945,1007,729,1029,1432,823,2849,999,4148,1845,4230,3539,10352,7804,3889,3841,3971,8079,3724,1317,7045,6888
Жириновский,49621,666,646,291,1142,1271,696,657,893,1000,533,1668,734,2444,1270,2344,1911,6079,4256,1423,2293,2096,4539,2298,747,3797,3927
Путин,472666,3924,5620,2872,10537,9365,4221,4521,6031,9593,4800,15789,5902,24095,11304,20084,16944,59100,42563,19582,23150,22358,46934,21833,8037,37215,36292
Собчак,15607,78,78,41,173,118,67,67,98,155,40,399,89,437,247,423,443,2267,1664,1426,932,1261,1929,573,111,1246,1245
Сурайкин,4377,26,32,24,100,66,43,34,47,73,25,132,69,247,106,181,169,559,374,209,217,238,452,146,62,372,374
Титов,6710,29,34,13,101,75,25,38,71,78,31,218,29,205,108,213,205,932,691,540,419,403,806,242,55,537,612
Явлинский,11738,26,36,19,125,64,28,34,60,103,20,271,29,255,125,291,234,1955,1269,1229,676,966,1638,314,79,1028,864
