город Москва,Сумма,район Богородское,район Вешняки,район Восточное Измайлово,район Гольяново,район Ивановское,район Измайлово,район Косино-Ухтомский,район Метрогородок,район Новокосино,район Новогиреево,район Перово,район Восточный,район Преображенское,район Северное Измайлово,район Соколиная гора,район Сокольники,район Внуково,район Дорогомилово,район Крылатское,район Кунцево,Можайский район,район Ново-Переделкино,район Очаково-Матвеевское,район Проспект Вернадского,район Раменки,район Солнцево,район Тропарево-Никулино,район Филевский парк,район Фили-Давыдково,район Силино,район Крюково,район Старое Крюково,район Матушкино,район Аэропорт,район Беговой,Бескудниковский район,район Савелки,Войковский район,район Восточное Дегунино,Головинский район,Дмитровский район,район Западное Дегунино,район Коптево,Левобережный район,Молжаниновский район,Савеловский район,район Сокол,Тимирязевский район,район Ховрино,Хорошевский район,Алексеевский район,Алтуфьевский район,Бабушкинский район,район Бибирево,Бутырский район,район Лианозово,Лосиноостровский район,район Марфино,район Марьина Роща,Останкинский район,район Отрадное,район Ростокино,район Свиблово,район Северное Медведково,район Северный,район Южное Медведково,Ярославский район,район Куркино,район Митино,район Покровское-Стрешнево,район Северное Тушино,район Строгино,район Хорошево-Мневники,район Щукино,район Южное Тушино,район Арбат,Басманный район,район Замоскворечье,Красносельский район,Мещанский район,Пресненский район,Таганский район,Тверской район,район Хамовники,район Якиманка,район Выхино-Жулебино,район Капотня,район Кузьминки,район Лефортово,район Люблино,район Марьино,район Некрасовка,Нижегородский район,район Печатники,Рязанский район,район Текстильщики,Южнопортовый район,Академический район,Гагаринский район,район Зюзино,район Коньково,район Котловка,Ломоносовский район,Обручевский район,район Северное Бутово,район Теплый Стан,район Черемушки,район Южное Бутово,район Ясенево,район Бирюлево Восточное,район Бирюлево Западное,район Братеево,Даниловский район,Донской район,район Зябликово,район Москворечье-Сабурово,район Нагатино-Садовники,район Нагатинский затон,Нагорный район,район Орехово-Борисово Северное,район Орехово-Борисово Южное,район Царицыно,район Чертаново Северное,район Чертаново Центральное,район Чертаново Южное,Новомосковская,Троицкий административный округ,Сосенская
"избирателей, включенных в список избирателей",7547843,65519,74439,43056,103755,77513,60568,43900,22811,65485,56515,81555,8106,49460,55257,54356,36678,16771,38409,54039,89833,87797,73166,76006,38506,82271,71776,73341,48920,64038,29393,68815,22122,29312,45167,25238,50563,24520,45718,58334,64823,53723,54228,62027,34115,6439,38740,32569,49827,58581,50303,43365,33040,57726,98690,38600,55042,54752,22785,36207,35011,121343,24304,35029,70835,22268,51121,53918,21248,117629,36213,91025,91249,98510,65688,64451,17555,65278,31649,28469,37805,78567,75494,52873,59557,16318,132475,17007,80105,55003,105792,161654,39219,26081,55019,61738,59115,43315,61001,46527,72754,96467,38014,51710,47532,59642,81260,65033,141038,113221,89992,50575,60058,55435,29450,72554,45930,47819,65197,43757,72801,85184,71883,63087,66865,91341,104294,95064,103818
"изб.бюллетеней, полученных участковой избирательной комиссией",6194708,58800,60450,34350,85280,59200,45950,34700,18060,52750,48400,76050,6700,38430,47878,45050,28839,13300,31800,42750,71299,76500,59850,59750,31200,64604,55400,58700,37962,49860,23950,59200,17700,24000,36940,20500,40550,19300,35200,47600,55700,43950,47305,50300,27300,4748,31610,25700,39552,48000,37400,32700,26000,47000,80100,31200,43330,42420,17200,29100,31090,115600,18650,27400,55900,17100,38450,44000,14950,104400,29950,77450,76250,84950,54926,53500,13700,50350,25330,23000,30500,64150,64300,41200,44980,11725,103395,13100,66000,44060,86100,135800,31186,20500,44700,54000,52302,32550,46282,36265,60750,77670,30950,38050,35030,48000,68700,52050,110450,100839,75500,44700,48800,46450,23001,71900,34800,38600,53520,40600,63500,69000,59910,52100,60435,78400,82000,83400,86145
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",4351078,38056,43958,25846,57033,45304,33857,28275,13265,40008,34179,46209,5124,27874,31242,31644,22429,9508,21103,31672,50242,48234,42916,43162,20960,45285,41359,41896,27672,35215,18195,40988,13158,17068,24944,13770,28361,15107,26345,33828,37000,30031,30954,34775,19509,4138,21707,18629,28189,33518,29486,24735,18863,33650,56415,22388,32777,31727,12883,19839,19852,70866,13903,20382,40818,14024,30353,30957,12607,69490,20879,51158,53472,55624,37989,36311,9977,35542,17772,16650,21629,41043,42840,29597,33240,8693,78631,10112,43751,33494,61413,94356,23854,14759,32155,35394,33284,24989,33244,24922,39699,55346,21302,28715,27045,35196,46809,35533,80669,65124,51237,27963,35108,33449,16781,43318,28220,27879,40872,27310,42254,50332,40416,36032,40269,53781,62757,57940,63192
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",172872,1326,2320,1764,2593,1959,1652,774,521,1134,1267,1782,353,1256,1451,1517,1015,391,1018,969,1937,2226,1127,1357,1395,1408,1636,1213,1099,1728,964,1519,917,1051,1246,1063,1144,1141,1196,1280,1699,1791,1493,1754,1127,187,1229,817,1727,1444,803,1122,795,1453,2419,790,1294,1203,515,1021,771,2129,647,668,1614,323,1138,1401,455,1831,835,1889,1568,2098,1985,1445,366,1736,651,778,1559,1592,1732,1199,1652,764,2628,317,1771,1436,2237,2428,540,943,1510,1252,2071,1048,1646,1301,1962,1889,904,1132,1126,1112,2297,1466,1875,2298,1895,966,1153,1206,918,1372,784,1621,1650,887,1631,1378,2120,1260,1493,1763,1504,1741,1123
"изб.бюллетеней, погашенных",1670694,19418,14172,6740,25654,11937,10441,5651,4274,11608,12948,28059,1223,9300,15180,11887,5395,3401,9679,10107,19121,26040,15807,15221,8845,17910,12405,15580,9184,12917,4791,16693,3625,5881,10750,5667,11042,3052,7659,12492,17001,12127,14858,13771,6664,423,8673,6254,9634,13038,7111,6843,6342,11897,21266,8022,9259,9490,3801,8240,10467,42605,4099,6347,13467,2753,6960,11642,1888,33079,8236,24403,21210,27228,14952,15744,3357,13072,6905,5572,7312,21515,19728,10403,10088,2269,22136,2671,20478,9131,22449,39016,6792,4798,11035,17354,16947,6513,11392,10042,19089,20435,8744,8203,6858,11692,19594,15051,27906,33417,22368,15771,12539,11795,5302,27210,5796,9100,10995,12403,19615,17290,17373,14808,18673,22855,17739,23719,21829
"изб.бюллетеней, в переносных ящиках для голосования",172449,1326,2319,1764,2593,1959,1652,774,521,1134,1267,1782,353,1255,1454,1517,1015,391,1018,968,1917,2224,1126,1350,1394,1408,1636,1205,1099,1727,964,1519,917,1051,1246,1062,1143,1141,1164,1279,1696,1790,1486,1659,1127,187,1229,814,1725,1422,803,1120,785,1453,2416,790,1294,1203,515,1020,770,2129,646,670,1613,324,1136,1401,455,1830,835,1889,1565,2053,1983,1385,366,1736,651,778,1557,1591,1707,1199,1641,761,2628,317,1771,1435,2237,2427,540,943,1510,1251,2071,1048,1628,1301,1962,1884,903,1129,1125,1114,2285,1466,1875,2297,1895,966,1153,1205,918,1372,784,1621,1650,886,1632,1378,2120,1260,1495,1763,1501,1741,1123
"изб.бюллетеней, в стационарных ящиках для голосования",4344288,38003,43785,25800,56973,45258,33810,28244,13253,39989,34123,46135,5113,27810,31215,31575,22391,9500,21063,31635,50185,48073,42859,43110,20932,45228,41309,41699,27650,35141,18148,40942,13151,17044,24907,13754,28337,15082,26299,33796,36955,29923,30836,34735,19482,4134,21681,18589,28017,33478,29446,24681,18852,33617,56290,22368,32752,31687,12869,19796,19819,70769,13892,20364,40750,14015,30264,30913,12594,69458,20850,51106,53375,55549,37940,36278,9944,35490,17742,16633,21588,40984,42769,29500,33175,8675,78481,10103,43714,33457,61378,94241,23824,14746,32115,35373,33245,24967,33195,24880,39655,55061,21289,28662,27020,35152,46725,35490,80596,64932,51144,27935,35054,33384,16743,43287,28190,27805,40814,27233,42154,50278,40360,35980,40188,53752,62695,57907,63139
"изб.бюллетеней, недействительных",66266,538,652,418,894,613,556,318,192,598,576,696,93,608,507,499,529,122,358,524,877,868,659,839,369,689,570,690,481,644,237,514,180,237,448,275,623,199,529,517,616,434,505,589,394,64,366,387,529,470,776,342,219,518,717,446,468,472,166,235,278,1013,206,337,603,223,448,530,160,923,322,670,669,768,491,416,143,542,277,218,302,520,556,616,513,114,1007,126,914,490,876,1291,332,215,451,484,573,319,647,437,638,1048,502,500,479,452,781,498,1064,1235,720,432,460,493,264,510,399,434,535,381,578,683,607,529,518,553,846,862,796
"изб.бюллетеней, действительных",4450471,38791,45452,27146,58672,46604,34906,28700,13582,40525,34814,47221,5373,28457,32162,32593,22877,9769,21723,32079,51225,49429,43326,43621,21957,45947,42375,42214,28268,36224,18875,41947,13888,17858,25705,14541,28857,16024,26934,34558,38035,31279,31817,35805,20215,4257,22544,19016,29213,34430,29473,25459,19418,34552,57989,22712,33578,32418,13218,20581,20311,71885,14332,20697,41760,14116,30952,31784,12889,70365,21363,52325,54271,56834,39432,37247,10167,36684,18116,17193,22843,42055,43920,30083,34303,9322,80102,10294,44571,34402,62739,95377,24032,15474,33174,36140,34743,25696,34176,25744,40979,55897,21690,29291,27666,35814,48229,36458,81407,65994,52319,28469,35747,34096,17397,44149,28575,28992,41929,27738,43208,50973,41873,36711,41165,54962,63350,58786,63466
