город Санкт-Петербург,Сумма,Территориальная избирательная комиссия №1,Территориальная избирательная комиссия №2,Территориальная избирательная комиссия №3,Территориальная избирательная комиссия №4,Территориальная избирательная комиссия №5,Территориальная избирательная комиссия №6,Территориальная избирательная комиссия №7,Территориальная избирательная комиссия №8,Территориальная избирательная комиссия №9,Территориальная избирательная комиссия №10,Территориальная избирательная комиссия №11,Территориальная избирательная комиссия №12,Территориальная избирательная комиссия №13,Территориальная избирательная комиссия №14,Территориальная избирательная комиссия №15,Территориальная избирательная комиссия №16,Территориальная избирательная комиссия №17,Территориальная избирательная комиссия №18,Территориальная избирательная комиссия №19,Территориальная избирательная комиссия №20,Территориальная избирательная комиссия №21,Территориальная избирательная комиссия №22,Территориальная избирательная комиссия №23,Территориальная избирательная комиссия №24,Территориальная избирательная комиссия №25,Территориальная избирательная комиссия №26,Территориальная избирательная комиссия №27,Территориальная избирательная комиссия №28,Территориальная избирательная комиссия №29,Территориальная избирательная комиссия №30
"избирателей, включенных в список избирателей",3632398,99601,139622,101732,108357,245125,166539,147275,87042,96986,85111,199867,124848,50008,106553,33253,85227,126399,98322,134437,150228,139464,130673,133708,117027,128692,126304,85487,158895,159112,66504
"изб.бюллетеней, полученных участковой избирательной комиссией",3394221,97660,130000,97469,123400,220150,138800,132824,81400,95500,82300,192000,107800,44130,118100,31261,70600,123500,82750,124400,142307,121100,120500,117370,98900,143500,121950,81050,149300,146000,58200
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",1795,0,425,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, выданных в помещении для голосования в день голосования",2248088,61218,87310,60314,69052,146550,96779,84844,55542,61890,55192,132007,77079,29952,73631,22029,46769,86882,64536,80814,95756,79717,87598,79931,70164,84291,72982,53292,97610,96175,38182
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",70251,2569,3527,1752,3989,3258,1870,1885,1444,1875,1514,3309,1468,2003,1497,980,1339,2509,2522,2102,3585,1910,3364,2834,1997,3302,2629,1583,2343,3568,1724
"изб.бюллетеней, погашенных",1073986,33869,38737,34026,50359,70342,40151,46095,24414,31735,25565,56685,29253,12175,42972,8252,22492,34051,15692,41481,42964,39473,29540,34605,26739,55907,46339,26175,49347,46257,18294
"изб.бюллетеней, в переносных ящиках для голосования",71976,2568,3945,3122,3953,3259,1867,1885,1443,1873,1513,3309,1468,2003,1496,980,1339,2504,2521,2102,3583,1909,3364,2834,1996,3296,2628,1583,2343,3568,1722
"изб.бюллетеней, в стационарных ящиках для голосования",2241482,61013,86946,60216,68905,146201,96689,84695,55507,61664,55110,131516,76847,29927,73329,22021,46659,86515,64018,80488,95672,79641,87213,79828,69316,84151,72933,53163,97418,95775,38106
"изб.бюллетеней, недействительных",28951,1173,1347,860,933,1778,942,1025,680,753,762,1323,1047,404,883,235,858,1156,805,1088,1089,765,1376,1020,832,1119,820,718,1301,1136,723
"изб.бюллетеней, действительных",2284507,62408,89544,62478,71925,147682,97614,85555,56270,62784,55861,133502,77268,31526,73942,22766,47140,87863,65734,81502,98166,80785,89201,81642,70480,86328,74741,54028,98460,98207,39105
"изб.бюллетеней, утраченных",114,4,1,7,0,0,0,0,0,0,29,0,0,0,0,0,3,65,0,3,2,0,0,0,0,0,0,0,0,0,0
"изб.бюллетеней, не учтенных при получении",13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,0,0,0,0,2,0,0,0,0,0,0,0,0
Бабурин,20450,609,912,578,695,1304,826,823,493,605,528,1218,645,279,599,157,469,813,445,779,791,598,848,752,606,775,645,516,845,934,363
Грудинин,209112,5832,8628,5836,6449,13763,9159,7986,5139,5569,4897,11549,7517,2636,6946,1652,4496,7688,4967,8337,9678,6791,8712,7010,6616,7536,6791,5441,9316,8505,3670
Жириновский,94569,2714,3452,2764,2980,6522,4221,3676,2583,2171,2467,5334,2681,1309,3091,1183,1812,3398,1925,2956,4268,3948,3365,3460,3215,3899,3620,2128,3711,4199,1517
Путин,1735236,45322,64251,47135,54223,112663,75127,64834,44038,47603,42767,102522,58508,24892,56442,18483,33257,67208,50875,59392,76346,64233,65296,62940,53859,66727,58171,40129,74025,75732,28236
Собчак,100059,3776,5563,2631,3356,6077,3717,3400,1691,2905,2273,5442,3666,1137,3287,627,3439,3893,3609,4584,3112,2235,4814,3109,2688,3209,2379,2597,4732,3497,2614
Сурайкин,15295,401,643,454,467,997,639,616,423,397,379,1016,471,177,466,137,337,607,358,534,598,543,592,600,477,540,515,357,585,713,256
Титов,36254,1166,1811,949,1158,2165,1385,1330,694,1112,873,2019,1385,403,1151,232,966,1320,1011,1579,1368,922,1690,1283,1058,1253,941,962,1767,1554,747
Явлинский,73532,2588,4284,2131,2597,4191,2540,2890,1209,2422,1677,4402,2395,693,1960,295,2364,2936,2544,3341,2005,1515,3884,2488,1961,2389,1679,1898,3479,3073,1702
