город Севастополь,Сумма,Балаклавская,Гагаринская,Ленинская,Нахимовская
"избирателей, включенных в список избирателей",339010,40790,115686,91688,90846
"изб.бюллетеней, полученных участковой избирательной комиссией",288290,33540,97629,78650,78471
"изб.бюллетеней, выданных избирателям, проголосовавшим досрочно",633,0,0,208,425
"изб.бюллетеней, выданных в помещении для голосования в день голосования",233869,27816,78894,63876,63283
"изб.бюллетеней, выданных вне помещения для голосования в день голосования",7674,1160,2090,2209,2215
"изб.бюллетеней, погашенных",46110,4563,16645,12354,12548
"изб.бюллетеней, в переносных ящиках для голосования",8279,1160,2089,2414,2616
"изб.бюллетеней, в стационарных ящиках для голосования",233777,27813,78833,63871,63260
"изб.бюллетеней, недействительных",2040,268,646,570,556
"изб.бюллетеней, действительных",240016,28705,80276,65715,65320
"изб.бюллетеней, утраченных",5,1,0,4,0
"изб.бюллетеней, не учтенных при получении",1,0,0,1,0
Бабурин,576,61,194,180,141
Грудинин,8698,879,3140,2495,2184
Жириновский,6988,794,2176,1918,2100
Путин,218303,26428,72867,59603,59405
Собчак,3083,335,1071,817,860
Сурайкин,569,48,204,183,134
Титов,896,73,331,273,219
Явлинский,903,87,293,246,277
