Страна,Выручка,Баланс,Прибыль,Количество компаний
Россия,216214046659833,13562501277277,252588213355605,44024
Кипр,12733676056000,1669686304000,14059196870000,1329
Германия,4933897442000,310978557000,3276837463000,475
Нидерланды,4870715930000,330529597000,3439032149000,450
Британия,3284277761000,98689515000,4376432973000,227
Швейцария,2086622546000,77678453000,1545841298000,155
Великобритания,1685342808000,473235725000,2628644899000,220
Франция,1557034895000,52865155000,953938558000,124
США,1202427167000,102693652000,741095895000,154
Швеция,974433773000,113952803000,1253687500000,57
Гибралтар,865377322000,11741635000,510201405000,6
Бельгия,592371184000,215993499000,180982141000,35
Австрия,571954257000,31647429000,392392911000,94
Доминиканская(?) Республика,511035604000,39762824000,326358919000,57
Финляндия,441075631000,33242206000,294121117000,102
Люксембург,389742707000,13333655000,298989172000,58
Белоруссия,378675079000,36403063000,237747647000,76
Япония,372894236000,25585159000,218568896000,63
Сингапур,322402037000,11646794000,222127044000,27
Греция,268798497000,2217265000,133607289000,1
Италия,235635074000,14408758000,179087494000,78
Чехия,232244100000,-4891841000,136132793000,18
Нормандские Острова,227468127000,208076545000,68281559000,4
Ангилья,226533275000,207790447000,62837527000,3
Кайман,198941433000,2016873000,38206104000,9
Volkswagen Finance Luxemburg S.A.,191108088000,-5598333000,113621919000,1
Сейшельские Острова,179478149000,4604888000,171805808000,82
Ирландия,171834048000,8724051000,61381931000,17
Украина,165129153000,-17486385000,459771057000,16
Дания,162233331000,11737030000,143932822000,48
Белиз,128545304000,6324910000,99516352000,51
Польша,119352241000,2715700000,71931657000,38
Панама,115636224000,991956000,128818246000,38
Китай,87979275000,18224161000,170552479000,30
Турция,85991729000,5035183000,75383967000,27
Испания,81084981000,5821100000,73526525000,26
Словения,62537385000,1172648000,56922783000,11
Маршалловы Острова,62236680000,2815170000,38860581000,16
Гонконг,55890551000,3753190000,42773348000,14
Cyprus,53929694000,686125000,48137461000,5
Вьетнам,52062989000,11304487000,76191825000,1
Netherlands,46724762000,2537831000,35006825000,1
Мальта,45815163000,-1852470000,58650248000,13
???,42444707000,6834966000,24349992000,1
Объединенные Арабские Эмираты,40130195000,2808356000,27843660000,14
Эстония,37047302000,-16202895000,12784061000,12
Литва,36420407000,256529000,13379844000,9
Латвия,29917980000,2067841000,14199252000,14
Сент-Китс И Невис,26291794000,239880000,17393591000,5
Сайпрус(?Cyprus),25736846000,32597515000,249717707000,1
