Наименование профессии/должности, Численность ед
Водитель автомобиля,6100
Учитель,5397
Уборщик производственных и служебных помещений,3856
Медицинская сестра,3665
Санитарка(мойщица),2950
Воспитатель детского сада (яслей-сада),2753
Сторож (вахтер),2648
Продавец продовольственных товаров,2625
Врач-специалист,2003
Бухгалтер,1814
Младший воспитатель,1647
Специалист,1526
Инженер,1406
Слесарь-ремонтник,1225
Повар,1124
Монтер пути,1017
Электромонтер по ремонту и обслуживанию электрооборудования,986
Машинист (кочегар) котельной,966
Педагог дополнительного образования,939
Фельдшер,915
Социальный работник,881
Главный бухгалтер,836
Рабочий по комплексному обслуживанию и ремонту зданий,791
Дворник,783
Электрогазосварщик,781
